country,state_name,state_code,district_name,district_code,department type,department,csir_spent_inr_crores,year,csir_spent_usd_millions
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.0,2015,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2015,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Other Sectors (Technology Incubator And benefits To Armed Forces And Admin Overheads),0.0,2015,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Others,0.0,2015,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Rural Development,0.0,2015,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2016,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2016,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.0,2016,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2016,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Other Sectors (Technology Incubator And benefits To Armed Forces And Admin Overheads),0.0,2016,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Others,0.0,2016,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Rural Development,0.0,2016,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2017,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2017,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.01,2017,0.0012048192771084338
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",1.03,2017,0.12409638554216869
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Other Sectors (Technology Incubator And benefits To Armed Forces And Admin Overheads),0.0,2017,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Others,0.0,2017,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Rural Development,0.25,2017,0.030120481927710843
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2018,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2018,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.0,2018,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2018,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Other Sectors (Technology Incubator And benefits To Armed Forces And Admin Overheads),0.0,2018,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Others,0.0,2018,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Rural Development,0.0,2018,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Education, Differently Abled, livelihood",0.87,2019,0.10481927710843372
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.05,2019,0.006024096385542169
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.19,2019,0.02289156626506024
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",5.7,2019,0.6867469879518072
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Other Sectors (Technology Incubator And benefits To Armed Forces And Admin Overheads),0.0,2019,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Others,0.0,2019,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Rural Development,0.0,2019,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Education, Differently Abled, livelihood",1.01,2020,0.1216867469879518
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.03,2020,0.003614457831325301
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.18,2020,0.021686746987951804
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",1.66,2020,0.19999999999999998
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Other Sectors (Technology Incubator And benefits To Armed Forces And Admin Overheads),0.0,2020,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Others,0.0,2020,0.0
India,Jammu And Kashmir,1,Jammu,5,Other than Aspirational,Rural Development,0.0,2020,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2014,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Encouraging Sports,0.0,2014,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2014,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Gender Equality, Women Empowerment, Old Age Homes, Reducing Inequalities",0.0,2014,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2014,0.0
India,Jammu And Kashmir,1,Kathua,7,Other than Aspirational,Rural Development,0.0,2014,0.0
